,time,price,time_converted
158,1628883828,15116.000000,2021-08-13 15:43:48
159,1628883828,15116.000000,2021-08-13 15:43:48
160,1628883830,15115.750000,2021-08-13 15:43:50
161,1628883830,15115.500000,2021-08-13 15:43:50
162,1628883830,15115.500000,2021-08-13 15:43:50
163,1628883830,15115.500000,2021-08-13 15:43:50
164,1628883830,15115.500000,2021-08-13 15:43:50
165,1628883830,15115.500000,2021-08-13 15:43:50
166,1628883830,15115.500000,2021-08-13 15:43:50
167,1628883830,15115.500000,2021-08-13 15:43:50
168,1628883830,15115.500000,2021-08-13 15:43:50
169,1628883830,15115.500000,2021-08-13 15:43:50
170,1628883831,15115.500000,2021-08-13 15:43:51
171,1628883831,15115.500000,2021-08-13 15:43:51
172,1628883832,15115.500000,2021-08-13 15:43:52
173,1628883832,15115.500000,2021-08-13 15:43:52
174,1628883832,15115.500000,2021-08-13 15:43:52
175,1628883833,15115.250000,2021-08-13 15:43:53
176,1628883833,15115.250000,2021-08-13 15:43:53
177,1628883833,15115.250000,2021-08-13 15:43:53
178,1628883833,15115.250000,2021-08-13 15:43:53
179,1628883833,15115.500000,2021-08-13 15:43:53
180,1628883833,15115.500000,2021-08-13 15:43:53
181,1628883833,15115.500000,2021-08-13 15:43:53
182,1628883833,15115.500000,2021-08-13 15:43:53
183,1628883833,15115.500000,2021-08-13 15:43:53
184,1628883833,15115.500000,2021-08-13 15:43:53
185,1628883834,15115.500000,2021-08-13 15:43:54
186,1628883835,15115.500000,2021-08-13 15:43:55
187,1628883835,15115.500000,2021-08-13 15:43:55
188,1628883835,15115.500000,2021-08-13 15:43:55
189,1628883835,15115.500000,2021-08-13 15:43:55
190,1628883835,15115.500000,2021-08-13 15:43:55
191,1628883835,15115.500000,2021-08-13 15:43:55
192,1628883836,15115.250000,2021-08-13 15:43:56
193,1628883836,15115.250000,2021-08-13 15:43:56
194,1628883836,15115.250000,2021-08-13 15:43:56
195,1628883836,15115.000000,2021-08-13 15:43:56
196,1628883836,15115.000000,2021-08-13 15:43:56
197,1628883836,15115.000000,2021-08-13 15:43:56
198,1628883836,15115.000000,2021-08-13 15:43:56
199,1628883836,15115.000000,2021-08-13 15:43:56
200,1628883837,15115.000000,2021-08-13 15:43:57
201,1628883837,15115.000000,2021-08-13 15:43:57
202,1628883837,15115.000000,2021-08-13 15:43:57
203,1628883837,15115.000000,2021-08-13 15:43:57
204,1628883837,15115.000000,2021-08-13 15:43:57
205,1628883837,15115.000000,2021-08-13 15:43:57
206,1628883837,15115.000000,2021-08-13 15:43:57
207,1628883837,15115.000000,2021-08-13 15:43:57
208,1628883837,15115.000000,2021-08-13 15:43:57
209,1628883838,15115.000000,2021-08-13 15:43:58
210,1628883838,15115.000000,2021-08-13 15:43:58
211,1628883838,15115.000000,2021-08-13 15:43:58
212,1628883838,15115.000000,2021-08-13 15:43:58
213,1628883838,15115.000000,2021-08-13 15:43:58
214,1628883838,15115.250000,2021-08-13 15:43:58
215,1628883838,15115.500000,2021-08-13 15:43:58
216,1628883838,15115.000000,2021-08-13 15:43:58
217,1628883839,15115.000000,2021-08-13 15:43:59
218,1628883840,15115.250000,2021-08-13 15:44:00
219,1628883840,15115.250000,2021-08-13 15:44:00
220,1628883840,15115.250000,2021-08-13 15:44:00
221,1628883840,15115.000000,2021-08-13 15:44:00
222,1628883840,15114.750000,2021-08-13 15:44:00
223,1628883840,15115.000000,2021-08-13 15:44:00
224,1628883840,15114.750000,2021-08-13 15:44:00
225,1628883840,15114.500000,2021-08-13 15:44:00
226,1628883840,15114.250000,2021-08-13 15:44:00
